    screen_name    | lv  | ru  | total | score 
 "jacobskoglund71" |   1 |     |     1 |  0.00
 "AigarsR"         |   1 |     |     1 |  0.00
 "AigarsAj"        |   1 |     |     1 |  0.00
 "jd7000ffg"       |     |   1 |     1 |  0.00
 "zhanete"         |   1 |     |     1 |  0.00
 "jenuufa"         |   1 |     |     1 |  0.00
 "jjukams"         |   1 |     |     1 |  0.00
 "Aigapele"        |   1 |     |     1 |  0.00
 "jurcns"          |   1 |     |     1 |  0.00
 "juris_Sevcenko"  |   1 |     |     1 |  0.00
 "AgrisemLatvija"  |   1 |     |     1 |  0.00
 "AgrisK1"         |   1 |     |     1 |  0.00
 "kasatskay"       |     |   1 |     1 |  0.00
 "kasopej_a"       |   1 |     |     1 |  0.00
 "kasparsf"        |   1 |     |     1 |  0.00
 "kasparsskincs"   |   1 |     |     1 |  0.00
 "kaxelivar"       |     |   1 |     1 |  0.00
 "kazhaes"         |   1 |     |     1 |  0.00
 "kceicane"        |   1 |     |     1 |  0.00
 "kikyworld123"    |   1 |     |     1 |  0.00
 "klincite"        |   1 |     |     1 |  0.00
 "kolesnicenkoe"   |     |   1 |     1 |  0.00
 "AgneseLace"      |   1 |     |     1 |  0.00
 "korzhanov"       |   1 |     |     1 |  0.00
 "kristaps441"     |   1 |     |     1 |  0.00
 "kristapsDFK"     |   1 |     |     1 |  0.00
 "kristiaanaaa_"   |   1 |     |     1 |  0.00
 "kristivv__"      |     |   1 |     1 |  0.00
 "AgneseDrunka"    |   1 |     |     1 |  0.00
 "krmednis"        |   1 |     |     1 |  0.00
 "Afanasjevv"      |   1 |     |     1 |  0.00
 "kurzemnieks_K"   |   1 |     |     1 |  0.00
 "laacz"           |   1 |     |     1 |  0.00
 "laurucics"       |   1 |     |     1 |  0.00
 "laurushh"        |   1 |     |     1 |  0.00
 "ledusauksts"     |   1 |     |     1 |  0.00
 "lenabelaja1"     |   1 |     |     1 |  0.00
 "lerkavlasova2"   |     |   1 |     1 |  0.00
 "lianamok"        |     |   1 |     1 |  0.00
 "lienesomase"     |   1 |     |     1 |  0.00
 "liepajalv"       |   1 |     |     1 |  0.00
 "liidaka"         |   1 |     |     1 |  0.00
 "linardsh"        |   1 |     |     1 |  0.00
 "lindiushaaa"     |   1 |     |     1 |  0.00
 "AdidasMan1999"   |   1 |     |     1 |  0.00
 "littleowlsandra" |     |   1 |     1 |  0.00
 "lizite1006"      |   1 |     |     1 |  0.00
 "lizkaa34"        |     |   1 |     1 |  0.00
 "lizuncik2109"    |     |   1 |     1 |  0.00
 "lotinova"        |     |   1 |     1 |  0.00
 "lovebigkid"      |     |   1 |     1 |  0.00
 "lusis3000"       |   1 |     |     1 |  0.00
 "lvzhukoff"       |     |   1 |     1 |  0.00
 "maarf"           |   1 |     |     1 |  0.00
 "maarinja"        |   1 |     |     1 |  0.00
 "magnetikss312"   |     |   1 |     1 |  0.00
 "makonitis999"    |   1 |     |     1 |  0.00
 "mansards_apg"    |   1 |     |     1 |  0.00
 "margaritameln"   |     |   1 |     1 |  0.00
 "maria_kuli"      |     |   1 |     1 |  0.00
 "marislogins"     |   1 |     |     1 |  0.00
 "martinc_k"       |   1 |     |     1 |  0.00
 "maxis808"        |   1 |     |     1 |  0.00
 "mazaaevijaa"     |   1 |     |     1 |  0.00
 "mdenisexoxo__"   |   1 |     |     1 |  0.00
 "melnaisenggelis" |   1 |     |     1 |  0.00
 "zhozesedanova20" |     |   1 |     1 |  0.00
 "mikeliits"       |   1 |     |     1 |  0.00
 "milaamrr"        |     |   1 |     1 |  0.00
 "mincitis1"       |   1 |     |     1 |  0.00
 "mmwodoleeff1"    |     |   1 |     1 |  0.00
 "monsterrr721"    |   1 |     |     1 |  0.00
 "mr_fox_spy"      |   1 |     |     1 |  0.00
 "mrscaramelle"    |   1 |     |     1 |  0.00
 "mrserge"         |   1 |     |     1 |  0.00
 "ms_pocs"         |   1 |     |     1 |  0.00
 "msanminina"      |     |   1 |     1 |  0.00
 "muzeologija"     |   1 |     |     1 |  0.00
 "nabelslv"        |   1 |     |     1 |  0.00
 "ARomanovnaM"     |     |   1 |     1 |  0.00
 "ne_login"        |     |   1 |     1 |  0.00
 "neftianik2003"   |     |   1 |     1 |  0.00
 "AAS_Baltikums"   |   1 |     |     1 |  0.00
 "@vas_ldz"        |   1 |     |     1 |  0.00
 "odrija_h"        |   1 |     |     1 |  0.00
 "olezka290156"    |     |   1 |     1 |  0.00
 "osiczz"          |   1 |     |     1 |  0.00
 "osiits92"        |   1 |     |     1 |  0.00
 "oskarspo"        |   1 |     |     1 |  0.00
 "oymda15"         |     |   1 |     1 |  0.00
 "partikula57"     |   1 |     |     1 |  0.00
 "paulajst"        |   1 |     |     1 |  0.00
 "pavel7766"       |     |   1 |     1 |  0.00
 "piparkuks"       |   1 |     |     1 |  0.00
 "00asket00"       |     |   1 |     1 |  0.00
 "@maximaveikals"  |   1 |     |     1 |  0.00
 "politeprofile"   |     |   1 |     1 |  0.00
 "pxnkx7sos"       |   1 |     |     1 |  0.00
 "rachelblat"      |     |   1 |     1 |  0.00
 "raibow__unicorn" |     |   1 |     1 |  0.00
 "raiccaaa"        |     |   1 |     1 |  0.00
 "realansta"       |     |   1 |     1 |  0.00
 "reinisvaza"      |   1 |     |     1 |  0.00
 "riakrisha"       |     |   1 |     1 |  0.00
 "riga_airport"    |   1 |     |     1 |  0.00
 "rommmzzza"       |     |   1 |     1 |  0.00
 "rozentalsm"      |   1 |     |     1 |  0.00
 "s_mikus"         |   1 |     |     1 |  0.00
 "salcevica97"     |   1 |     |     1 |  0.00
 "sandradiezina"   |   1 |     |     1 |  0.00
 "sarmucuks"       |   1 |     |     1 |  0.00
 "say_yessummer"   |     |   1 |     1 |  0.00
 "semltd73"        |   1 |     |     1 |  0.00
 "severnaya789"    |     |   1 |     1 |  0.00
 "shadomoises"     |   1 |     |     1 |  0.00
 "shipseanet"      |   1 |     |     1 |  0.00
 "sigucis_"        |   1 |     |     1 |  0.00
 "sigulda_lv"      |   1 |     |     1 |  0.00
 "silenieks"       |   1 |     |     1 |  0.00
 "silvijaaaa_hey"  |   1 |     |     1 |  0.00
 "siminjaa"        |   1 |     |     1 |  0.00
 "sindijs1"        |   1 |     |     1 |  0.00
 "sinka65"         |   1 |     |     1 |  0.00
 "sirloly"         |   1 |     |     1 |  0.00
 "sitjano"         |   1 |     |     1 |  0.00
 "skatieslatvija"  |   1 |     |     1 |  0.00
 "zondaks"         |   1 |     |     1 |  0.00
 "smilsaraaja"     |   1 |     |     1 |  0.00
 "smuidreanna18"   |   1 |     |     1 |  0.00
 "smutkonn"        |     |   1 |     1 |  0.00
 "sprinterz"       |     |   1 |     1 |  0.00
 "startoursLV"     |   1 |     |     1 |  0.00
 "987Igor"         |   1 |     |     1 |  0.00
 "supemaris1"      |   1 |     |     1 |  0.00
 "superkauss"      |   1 |     |     1 |  0.00
 "tfjackj310"      |   1 |     |     1 |  0.00
 "thisbitchwithme" |     |   1 |     1 |  0.00
 "tmbvolk99"       |     |   1 |     1 |  0.00
 "63Kostas"        |     |   1 |     1 |  0.00
 "5516984"         |     |   1 |     1 |  0.00
 "4545Maxj"        |     |   1 |     1 |  0.00
 "ugunsdzeseji"    |   1 |     |     1 |  0.00
 "uldisaugulis"    |   1 |     |     1 |  0.00
 "uldzhs"          |   1 |     |     1 |  0.00
 "unreal_world_"   |   1 |     |     1 |  0.00
 "uuandersone"     |   1 |     |     1 |  0.00
 "uzhosnah"        |   1 |     |     1 |  0.00
 "uzliime"         |   1 |     |     1 |  0.00
 "v_pankratov"     |     |   1 |     1 |  0.00
 "valtersb"        |   1 |     |     1 |  0.00
 "valtersunrapa"   |   1 |     |     1 |  0.00
 "viedis"          |   1 |     |     1 |  0.00
 "viktori5000"     |   1 |     |     1 |  0.00
 "Crimsonfuckit"   |   1 |     |     1 |  0.00
 "DE_TULKS"        |   1 |     |     1 |  0.00
 "DJvalters"       |   1 |     |     1 |  0.00
 "DLocis"          |   1 |     |     1 |  0.00
 "DaceRatniece"    |   1 |     |     1 |  0.00
 "Dacii777"        |   1 |     |     1 |  0.00
 "Cepyms"          |   1 |     |     1 |  0.00
 "DaniIo1991"      |     |   1 |     1 |  0.00
 "Danko2k14"       |     |   1 |     1 |  0.00
 "vilnisr"         |   1 |     |     1 |  0.00
 "vismortua"       |   1 |     |     1 |  0.00
 "Denchix_"        |   1 |     |     1 |  0.00
 "Djhelminen"      |   1 |     |     1 |  0.00
 "DterryYvonned"   |   1 |     |     1 |  0.00
 "Carinj_S"        |   1 |     |     1 |  0.00
 "Dziman"          |     |   1 |     1 |  0.00
 "Dzimumkoks"      |   1 |     |     1 |  0.00
 "ECL_PSE"         |   1 |     |     1 |  0.00
 "EGoizane"        |   1 |     |     1 |  0.00
 "EdgarsGaross"    |   1 |     |     1 |  0.00
 "Edijs999"        |   1 |     |     1 |  0.00
 "EdmundsEdmunc"   |   1 |     |     1 |  0.00
 "EduardIljin9"    |   1 |     |     1 |  0.00
 "EgonsBuss"       |   1 |     |     1 |  0.00
 "feisuks"         |   1 |     |     1 |  0.00
 "ElvisLicitis"    |   1 |     |     1 |  0.00
 "Elza_Zarina"     |   1 |     |     1 |  0.00
 "Engeliitei21"    |   1 |     |     1 |  0.00
 "Bsektors_"       |   1 |     |     1 |  0.00
 "Equinezw0w"      |   1 |     |     1 |  0.00
 "Eraksti"         |   1 |     |     1 |  0.00
 "EriksBauers"     |   1 |     |     1 |  0.00
 "Eva_Ikstena"     |   1 |     |     1 |  0.00
 "EwiyaLV"         |   1 |     |     1 |  0.00
 "ExclusiveYan"    |     |   1 |     1 |  0.00
 "EytanKamtzan"    |   1 |     |     1 |  0.00
 "FINKIS_H"        |   1 |     |     1 |  0.00
 "FLOOPFLOOPER"    |     |   1 |     1 |  0.00
 "FancyWriter"     |     |   1 |     1 |  0.00
 "FirsLawuer"      |     |   1 |     1 |  0.00
 "Flashlightchan"  |   1 |     |     1 |  0.00
 "Flera_P"         |   1 |     |     1 |  0.00
 "GACHO"           |   1 |     |     1 |  0.00
 "GCipulis"        |   1 |     |     1 |  0.00
 "GEFSIMANIA"      |     |   1 |     1 |  0.00
 "GJankovskis"     |   1 |     |     1 |  0.00
 "Brivgars"        |   1 |     |     1 |  0.00
 "GintaSubbota"    |   1 |     |     1 |  0.00
 "GintsTamanis"    |   1 |     |     1 |  0.00
 "Girts"           |   1 |     |     1 |  0.00
 "BriedisM"        |   1 |     |     1 |  0.00
 "GitaCiirule"     |   1 |     |     1 |  0.00
 "GitaRevalde"     |   1 |     |     1 |  0.00
 "Grafikaskola"    |   1 |     |     1 |  0.00
 "GraudinaAnita"   |   1 |     |     1 |  0.00
 "Gravciks"        |   1 |     |     1 |  0.00
 "Greidans"        |   1 |     |     1 |  0.00
 "Grigalis25"      |   1 |     |     1 |  0.00
 "GrinbergaAnna"   |   1 |     |     1 |  0.00
 "GunaSkangale"    |   1 |     |     1 |  0.00
 "Happy_ArtMuseum" |   1 |     |     1 |  0.00
 "HmelovaLiza"     |     |   1 |     1 |  0.00
 "HuaweiMobileLV"  |   1 |     |     1 |  0.00
 "IMilovs"         |     |   1 |     1 |  0.00
 "I_Reizenbergs"   |   1 |     |     1 |  0.00
 "1annichka"       |     |   1 |     1 |  0.00
 "Ieva_Niedra"     |   1 |     |     1 |  0.00
 "IlmarsLat"       |   1 |     |     1 |  0.00
 "IlonaStalidzane" |   1 |     |     1 |  0.00
 "Ilya_Riga"       |     |   1 |     1 |  0.00
 "IlzeJansone"     |   1 |     |     1 |  0.00
 "BezTabuTV3"      |   1 |     |     1 |  0.00
 "BerzinaAiga"     |   1 |     |     1 |  0.00
 "IngaAntane"      |   1 |     |     1 |  0.00
 "Ingrida_Avotina" |   1 |     |     1 |  0.00
 "Beatzpull"       |     |   1 |     1 |  0.00
 "InitaKresa"      |   1 |     |     1 |  0.00
 "InraRubene"      |   1 |     |     1 |  0.00
 "IntarsBusulis"   |   1 |     |     1 |  0.00
 "Intrac_Latvija"  |   1 |     |     1 |  0.00
 "IrinaDmitrevna"  |     |   1 |     1 |  0.00
 "Iritayeahh"      |   1 |     |     1 |  0.00
 "IvarsNeiders"    |   1 |     |     1 |  0.00
 "IzglitibaunK"    |   1 |     |     1 |  0.00
 "J_Liberts"       |   1 |     |     1 |  0.00
 "JanisBaumanisRX" |   1 |     |     1 |  0.00
 "JanisJonikans"   |   1 |     |     1 |  0.00
 "JanisLiepinsDJ"  |   1 |     |     1 |  0.00
 "JanisRoze"       |   1 |     |     1 |  0.00
 "JanisTeresko"    |   1 |     |     1 |  0.00
 "JaunpilsPils"    |   1 |     |     1 |  0.00
 "Jayson1567"      |   1 |     |     1 |  0.00
 "Jezebel2004"     |   1 |     |     1 |  0.00
 "vitocka3"        |   1 |     |     1 |  0.00
 "Jorens"          |   1 |     |     1 |  0.00
 "JudaFox123"      |   1 |     |     1 |  0.00
 "JuljansK"        |   1 |     |     1 |  0.00
 "JurisLi"         |   1 |     |     1 |  0.00
 "Jurjite"         |   1 |     |     1 |  0.00
 "KBlumberga"      |   1 |     |     1 |  0.00
 "KBlumentals"     |   1 |     |     1 |  0.00
 "KVanks"          |   1 |     |     1 |  0.00
 "K_Grosu"         |   1 |     |     1 |  0.00
 "KaarlisUp"       |   1 |     |     1 |  0.00
 "KakalakaRoa"     |   1 |     |     1 |  0.00
 "KangareSandra"   |   1 |     |     1 |  0.00
 "KaralisArturs"   |   1 |     |     1 |  0.00
 "KarlDeer"        |     |   1 |     1 |  0.00
 "Karlizzz97"      |   1 |     |     1 |  0.00
 "Karsavas_novads" |   1 |     |     1 |  0.00
 "Bastet_lv"       |   1 |     |     1 |  0.00
 "vladikom55"      |     |   1 |     1 |  0.00
 "KrissUpenieks"   |   1 |     |     1 |  0.00
 "KristapsCaune_"  |   1 |     |     1 |  0.00
 "KristiansBirkis" |   1 |     |     1 |  0.00
 "KristinaVesna93" |     |   1 |     1 |  0.00
 "KristineAllikas" |   1 |     |     1 |  0.00
 "KubulsLV"        |   1 |     |     1 |  0.00
 "LDM_laura"       |   1 |     |     1 |  0.00
 "LFS_floorball"   |   1 |     |     1 |  0.00
 "LTRK_info"       |   1 |     |     1 |  0.00
 "LV_JZA"          |   1 |     |     1 |  0.00
 "LV_Ukraine"      |   1 |     |     1 |  0.00
 "LabakDzivot"     |   1 |     |     1 |  0.00
 "Lainiiitee"      |   1 |     |     1 |  0.00
 "LatvijasRadio2"  |   1 |     |     1 |  0.00
 "Latvijas_armija" |   1 |     |     1 |  0.00
 "BasicVikka"      |   1 |     |     1 |  0.00
 "Laumaryn"        |   1 |     |     1 |  0.00
 "LauraValuta"     |   1 |     |     1 |  0.00
 "BasicEngine"     |   1 |     |     1 |  0.00
 "LeinertsJnis"    |   1 |     |     1 |  0.00
 "LeonCeptin"      |     |   1 |     1 |  0.00
 "LieneCipule"     |   1 |     |     1 |  0.00
 "LieneDoogma"     |   1 |     |     1 |  0.00
 "LilKateSODMG"    |   1 |     |     1 |  0.00
 "Linciiis"        |   1 |     |     1 |  0.00
 "LivanuTIC"       |   1 |     |     1 |  0.00
 "BarILoveYou"     |   1 |     |     1 |  0.00
 "LolitLolita"     |   1 |     |     1 |  0.00
 "LuKangOMG"       |     |   1 |     1 |  0.00
 "Lupatniece"      |     |   1 |     1 |  0.00
 "Lustigais"       |   1 |     |     1 |  0.00
 "M4t1ss"          |   1 |     |     1 |  0.00
 "MBelenkaya"      |     |   1 |     1 |  0.00
 "METEOROLOGS_"    |   1 |     |     1 |  0.00
 "MJevgeny"        |     |   1 |     1 |  0.00
 "MMeggABC"        |   1 |     |     1 |  0.00
 "MMeinharde"      |   1 |     |     1 |  0.00
 "MPavasaris"      |   1 |     |     1 |  0.00
 "M_Nudiena"       |   1 |     |     1 |  0.00
 "M_Rutkevica"     |   1 |     |     1 |  0.00
 "M_Zintis"        |   1 |     |     1 |  0.00
 "MaarchaL"        |   1 |     |     1 |  0.00
 "MaartinsKa"      |   1 |     |     1 |  0.00
 "Madaryyy"        |   1 |     |     1 |  0.00
 "Madzja"          |   1 |     |     1 |  0.00
 "Magda_Riekstina" |   1 |     |     1 |  0.00
 "ManaBalss"       |   1 |     |     1 |  0.00
 "Marchellito"     |   1 |     |     1 |  0.00
 "MareksBrzi"      |   1 |     |     1 |  0.00
 "MarisPlume"      |   1 |     |     1 |  0.00
 "MarshMelloua"    |   1 |     |     1 |  0.00
 "MartinGrinbergs" |   1 |     |     1 |  0.00
 "MarupesVSK"      |   1 |     |     1 |  0.00
 "Mayskolpino"     |     |   1 |     1 |  0.00
 "MelnisM"         |   1 |     |     1 |  0.00
 "Mikimauss23"     |   1 |     |     1 |  0.00
 "MiksMuizarajs"   |   1 |     |     1 |  0.00
 "Miksons_Karlis"  |   1 |     |     1 |  0.00
 "MilanaUdalova"   |     |   1 |     1 |  0.00
 "MilkSshakee"     |   1 |     |     1 |  0.00
 "MissNegativus"   |   1 |     |     1 |  0.00
 "Misszemenite"    |     |   1 |     1 |  0.00
 "Mjauful"         |   1 |     |     1 |  0.00
 "0_RAV_0"         |   1 |     |     1 |  0.00
 "Moolusk"         |     |   1 |     1 |  0.00
 "MoyNadin"        |     |   1 |     1 |  0.00
 "MsEncissss"      |   1 |     |     1 |  0.00
 "NEKK1T"          |     |   1 |     1 |  0.00
 "NVOnams"         |   1 |     |     1 |  0.00
 "NaktsVerotajs"   |   1 |     |     1 |  0.00
 "NastjaKochetkov" |     |   1 |     1 |  0.00
 "Nastjuenke"      |   1 |     |     1 |  0.00
 "NaurisKolats"    |   1 |     |     1 |  0.00
 "Nauris_L"        |   1 |     |     1 |  0.00
 "Aviolv"          |   1 |     |     1 |  0.00
 "NikTan10"        |     |   1 |     1 |  0.00
 "Norel_IT"        |   1 |     |     1 |  0.00
 "OCipulis"        |     |   1 |     1 |  0.00
 "OZO_LA"          |   1 |     |     1 |  0.00
 "OldTrencis"      |   1 |     |     1 |  0.00
 "OliveOilTrading" |   1 |     |     1 |  0.00
 "Originalkri"     |     |   1 |     1 |  0.00
 "OskarsDeigelis"  |   1 |     |     1 |  0.00
 "Oskars_Kaulens"  |   1 |     |     1 |  0.00
 "OtoGrinbergs"    |   1 |     |     1 |  0.00
 "OttoOzols"       |   1 |     |     1 |  0.00
 "Paganel72"       |     |   1 |     1 |  0.00
 "Attist_sadarb"   |   1 |     |     1 |  0.00
 "PalmTreezzzz"    |   1 |     |     1 |  0.00
 "PandaElijah"     |   1 |     |     1 |  0.00
 "PandaHeheheh"    |   1 |     |     1 |  0.00
 "Pariize"         |   1 |     |     1 |  0.00
 "PeterisJur"      |   1 |     |     1 |  0.00
 "Atrilrad"        |   1 |     |     1 |  0.00
 "Pikatchju_"      |   1 |     |     1 |  0.00
 "Pilsetasdzive"   |   1 |     |     1 |  0.00
 "Piromeistars"    |   1 |     |     1 |  0.00
 "Pocins"          |   1 |     |     1 |  0.00
 "PolskaSotnja"    |     |   1 |     1 |  0.00
 "ProRacers1995"   |   1 |     |     1 |  0.00
 "Prusis"          |   1 |     |     1 |  0.00
 "PulsometrsLV"    |   1 |     |     1 |  0.00
 "PyxlsApparel"    |   1 |     |     1 |  0.00
 "RIIMC1"          |   1 |     |     1 |  0.00
 "RKBirojs"        |   1 |     |     1 |  0.00
 "RVilaks"         |   1 |     |     1 |  0.00
 "R_Gagunovs"      |   1 |     |     1 |  0.00
 "RaivoLeimanen"   |   1 |     |     1 |  0.00
 "ReTouchStudio1"  |     |   1 |     1 |  0.00
 "Relax_or_Die"    |   1 |     |     1 |  0.00
 "Relikt271"       |     |   1 |     1 |  0.00
 "RenarsValters"   |   1 |     |     1 |  0.00
 "Renate_Dulbe"    |   1 |     |     1 |  0.00
 "Resetins"        |   1 |     |     1 |  0.00
 "Richulis"        |   1 |     |     1 |  0.00
 "RigaBrain"       |   1 |     |     1 |  0.00
 "ArvisLaksa"      |   1 |     |     1 |  0.00
 "Rkrilis"         |   1 |     |     1 |  0.00
 "Roberts35788095" |     |   1 |     1 |  0.00
 "RockSandis112"   |   1 |     |     1 |  0.00
 "Rokpelnis"       |   1 |     |     1 |  0.00
 "SA_Sandria"      |   1 |     |     1 |  0.00
 "Saattans"        |   1 |     |     1 |  0.00
 "Sac0bJarver"     |   1 |     |     1 |  0.00
 "Sandis1997"      |   1 |     |     1 |  0.00
 "SandraSandrish"  |   1 |     |     1 |  0.00
 "Sarma_Freiberga" |   1 |     |     1 |  0.00
 "SatoriLV"        |   1 |     |     1 |  0.00
 "SergeyMikhaelov" |     |   1 |     1 |  0.00
 "Sievux"          |   1 |     |     1 |  0.00
 "Sigita133"       |   1 |     |     1 |  0.00
 "ArmandsU96"      |   1 |     |     1 |  0.00
 "SikulisEibrims"  |   1 |     |     1 |  0.00
 "Silina_Elina"    |   1 |     |     1 |  0.00
 "Arlietas"        |   1 |     |     1 |  0.00
 "ArdalaLiepaja"   |   1 |     |     1 |  0.00
 "Space0Writer"    |   1 |     |     1 |  0.00
 "SpinFM90"        |   1 |     |     1 |  0.00
 "Stafinjs"        |   1 |     |     1 |  0.00
 "TBreazy__"       |   1 |     |     1 |  0.00
 "xcomnospam1"     |     |   1 |     1 |  0.00
 "TautasnamsTalsi" |   1 |     |     1 |  0.00
 "TeaPotInRiga"    |     |   1 |     1 |  0.00
 "Terzens"         |   1 |     |     1 |  0.00
 "ThisIsNauris"    |   1 |     |     1 |  0.00
 "AntraAkkere"     |   1 |     |     1 |  0.00
 "TramEkb"         |   1 |     |     1 |  0.00
 "AntonsMaris"     |   1 |     |     1 |  0.00
 "Ugiskinkeris"    |   1 |     |     1 |  0.00
 "UldisKrauze"     |   1 |     |     1 |  0.00
 "Uncix1"          |   1 |     |     1 |  0.00
 "UnknownMrDave"   |   1 |     |     1 |  0.00
 "VIPCAROLYSH"     |     |   1 |     1 |  0.00
 "ValdisValters"   |   1 |     |     1 |  0.00
 "Var_na"          |   1 |     |     1 |  0.00
 "Varetupavalet"   |   1 |     |     1 |  0.00
 "VentspilsJM"     |   1 |     |     1 |  0.00
 "Ventspilsreiss"  |   1 |     |     1 |  0.00
 "xeliihax"        |   1 |     |     1 |  0.00
 "VieglatletikaLV" |   1 |     |     1 |  0.00
 "VienkaarshiNee"  |   1 |     |     1 |  0.00
 "05etonerazmer"   |     |   1 |     1 |  0.00
 "Vika_Mayakovska" |     |   1 |     1 |  0.00
 "AnrijsZ"         |   1 |     |     1 |  0.00
 "Anorete"         |   1 |     |     1 |  0.00
 "Vita_Lombards"   |   1 |     |     1 |  0.00
 "Vodianicki_Oleg" |     |   1 |     1 |  0.00
 "AnnaFoma"        |   1 |     |     1 |  0.00
 "Yasmina_Moona"   |   1 |     |     1 |  0.00
 "YeahDeep"        |   1 |     |     1 |  0.00
 "AnjaOni"         |     |   1 |     1 |  0.00
 "Zanetti_27"      |   1 |     |     1 |  0.00
 "Zebra_TV"        |   1 |     |     1 |  0.00
 "ZemGun"          |   1 |     |     1 |  0.00
 "ZemesDienests"   |   1 |     |     1 |  0.00
 "Zigxx"           |   1 |     |     1 |  0.00
 "_Ammm_"          |   1 |     |     1 |  0.00
 "_Pest"           |     |   1 |     1 |  0.00
 "_chuch_"         |   1 |     |     1 |  0.00
 "_jagris_"        |   1 |     |     1 |  0.00
 "_ptyca"          |     |   1 |     1 |  0.00
 "aaabbbiiisss"    |   1 |     |     1 |  0.00
 "AneteZatirka"    |   1 |     |     1 |  0.00
 "zakainis"        |   1 |     |     1 |  0.00
 "adza_k"          |   1 |     |     1 |  0.00
 "agaccii_tie"     |   1 |     |     1 |  0.00
 "agga210"         |   1 |     |     1 |  0.00
 "ainars_knoks"    |   1 |     |     1 |  0.00
 "aleftinakudrja1" |     |   1 |     1 |  0.00
 "alekkk5"         |     |   1 |     1 |  0.00
 "aleksa_f"        |   1 |     |     1 |  0.00
 "aleksiiite"      |   1 |     |     1 |  0.00
 "aleksis789"      |   1 |     |     1 |  0.00
 "alexkav100"      |   1 |     |     1 |  0.00
 "alexzav13"       |     |   1 |     1 |  0.00
 "alexzenciks"     |     |   1 |     1 |  0.00
 "alisejoste"      |   1 |     |     1 |  0.00
 "aluksniesiemLv"  |   1 |     |     1 |  0.00
 "amanda_grina"    |   1 |     |     1 |  0.00
 "amazlnglymendes" |   1 |     |     1 |  0.00
 "amigo_igoo"      |     |   1 |     1 |  0.00
 "amornbryzz"      |   1 |     |     1 |  0.00
 "anarhitekts"     |   1 |     |     1 |  0.00
 "Andrejs25481433" |   1 |     |     1 |  0.00
 "AndreeBravo"     |   1 |     |     1 |  0.00
 "annarozova"      |     |   1 |     1 |  0.00
 "annjuks69"       |   1 |     |     1 |  0.00
 "ansisklintsons"  |   1 |     |     1 |  0.00
 "AnceMikelsone"   |   1 |     |     1 |  0.00
 "arnozvej"        |   1 |     |     1 |  0.00
 "artispupins"     |   1 |     |     1 |  0.00
 "arturburbo"      |     |   1 |     1 |  0.00
 "arturs"          |   1 |     |     1 |  0.00
 "askrastins"      |   1 |     |     1 |  0.00
 "ausii_runaa"     |   1 |     |     1 |  0.00
 "auzins97"        |   1 |     |     1 |  0.00
 "avers_lv"        |   1 |     |     1 |  0.00
 "awesomelozinc"   |     |   1 |     1 |  0.00
 "baltinovskis"    |   1 |     |     1 |  0.00
 "behmanis"        |   1 |     |     1 |  0.00
 "Anarhists"       |   1 |     |     1 |  0.00
 "bilsiic"         |   1 |     |     1 |  0.00
 "blanks86"        |   1 |     |     1 |  0.00
 "bliezejs4funny"  |   1 |     |     1 |  0.00
 "blind_dreams_"   |   1 |     |     1 |  0.00
 "blondaa_A"       |   1 |     |     1 |  0.00
 "blondaaabekka"   |   1 |     |     1 |  0.00
 "bluaty"          |   1 |     |     1 |  0.00
 "bogodenko2"      |     |   1 |     1 |  0.00
 "boqdyaa"         |     |   1 |     1 |  0.00
 "zandarts"        |   1 |     |     1 |  0.00
 "bukucis"         |   1 |     |     1 |  0.00
 "buminsh99"       |   1 |     |     1 |  0.00
 "bums56"          |   1 |     |     1 |  0.00
 "cakesaretasty"   |   1 |     |     1 |  0.00
 "AminataSavadogo" |   1 |     |     1 |  0.00
 "AmatasNovads"    |   1 |     |     1 |  0.00
 "catsxy"          |   1 |     |     1 |  0.00
 "cbuchanan27"     |   1 |     |     1 |  0.00
 "cepums11"        |     |   1 |     1 |  0.00
 "chabuliitiis"    |   1 |     |     1 |  0.00
 "chalisbezsirds"  |   1 |     |     1 |  0.00
 "chokolaade"      |   1 |     |     1 |  0.00
 "ciftler76"       |   1 |     |     1 |  0.00
 "cipanss"         |   1 |     |     1 |  0.00
 "cult2follow"     |     |   1 |     1 |  0.00
 "cursesfridayy"   |     |   1 |     1 |  0.00
 "AmandazaD"       |   1 |     |     1 |  0.00
 "dannya_77"       |   1 |     |     1 |  0.00
 "daviskarklinsh"  |   1 |     |     1 |  0.00
 "davissuneps"     |   1 |     |     1 |  0.00
 "dbaumanis"       |   1 |     |     1 |  0.00
(1100 rows)

